['attacks', 'racist', 'but', 'have', 'belief', 'in', 'indian', 'government', 'african', 'envoy']
['japanese', 'investors', 'keen', 'on', 'indias', 'infra', 'growth', 'story', 'arun', 'jaitley']
['five', 'arrested', 'for', 'assaulting', 'african', 'nationals', 'hunt', 'on', 'for', '3']
['telugu', 'desam', 'party', 'likely', 'to', 'back', 'bjps', 'suresh', 'prabhu', 'for', 'rajya', 'sabha']
['sharad', 'pawar', 'compares', 'modi', 'govts', '2nd', 'anniversary', 'bash', 'with', 'india', 'shining']
['coal', 'india', 'ltd', 'raises', 'coal', 'price', 'by', '6']
['himachal', 'has', 'approved', '247', 'investment', 'proposals', 'official']
['bjp', 'has', 'given', 'a', 'decisive', 'and', 'corruption', 'free', 'government', 'amit', 'shah']
['donald', 'trumps', 'frequent', 'change', 'of', 'mind', 'an', 'issue', 'of', 'concern', 'bernie', 'sanders']
['sarbananda', 'sonowal', 'tells', 'dcs', 'to', 'update', 'national', 'citizen', 'register']
['will', 'not', 'tread', 'path', 'of', 'sin', 'to', 'pursue', 'development', 'pm', 'narendra', 'modi']
['several', 'women', 'being', 'considered', 'as', 'donald', 'trumps', 'vp', 'aide']
['pm', 'narendra', 'modis', 'flight', 'diverted', 'to', 'jaipur', 'because', 'of', 'bad', 'weather']
['coal', 'auction', 'to', 'get', 'rs', '3', '45', 'lakh', 'crore', 'rs', '36k', 'crore', 'saving', 'via', 'dbt', 'government']
['pm', 'narendra', 'modis', 'mother', 'heeraben', 'given', 'nari', 'jagran', 'samman', '2016', 'award']
['law', 'not', 'enough', 'more', 'to', 'be', 'done', 'for', 'educating', 'children', 'president', 'pranab', 'mukherjee']
['failing', 'to', 'get', 'rajya', 'sabha', 'renomination', 'congress', 'mp', 'vijay', 'darda', 'meets', 'nitin', 'gadkari']
['china', 'ready', 'to', 'boost', 'defence', 'ties', 'with', 'bangladesh', 'defence', 'minister', 'chang', 'wanquan']
['tosa', 'maidan', 'opened', 'sans', 'army', 'clearance', 'cm', 'mehbooba', 'mufti', 'pulls', 'up', 'officials']
['ram', 'madhav', 'may', 'be', 'bjps', 'candidate', 'from', 'andhra', 'pradesh']
['donald', 'trump', 'slams', 'barack', 'obama', 'for', 'not', 'mentioning', 'pearl', 'harbour', 'attack']
