['mangal', 'raj', 'and', 'rule', 'of', 'law', 'in', 'bihar', 'nitish', 'kumar']
['bjp', 'floats', 'new', 'platform', 'for', 'north', 'east', 'himanta', 'biswa', 'sarma', 'made', 'convenor']
['subhash', 'chandra', 'steps', 'down', 'as', 'zee', 'media', 'chairman']
['airlines', 'seek', 'weather', 'updates', 'well', 'in', 'advance']
['government', 'eyes', 'rs', '25', 'lakh', 'crore', 'infra', 'investments', 'to', 'create', '4', 'crore', 'jobs']
['google', 'maps', 'offers', 'new', 'features', 'to', 'local', 'search', 'ads']
['government', 'revises', 'norms', 'of', 'performance', 'in', 'credit', 'rating', 'scheme']
['marquee', 'overseas', 'investors', 'eyeing', 'stake', 'in', 'hero', 'future', 'energies']
['india', 'must', 'have', 'strong', 'economy', 'to', 'back', 'up', 'global', 'leadershipus']
['railways', 'to', 'highlight', 'two', 'year', 'achievements', 'of', 'modi', 'govt']
['delhi', 'government', 'presents', 'plan', 'for', 'cleaning', 'yamuna', 'to', 'centre']
['railways', 'seeks', 'rs', '1', '19', 'lakh', 'crore', 'from', 'finance', 'ministry', 'for', 'safety', 'in', 'operations']
['digvijaya', 'singh', 'seeks', 'judicial', 'probe', 'into', 'fake', 'batla', 'house', 'encounter']
['freecharge', 'rejigs', 'top', 'management', 'elevates', 'govind', 'rajan', 'as', 'ceo']
['probe', 'all', 'charges', 'against', 'me', 'khadse', 'to', 'centre', 'fadnavis']
['firm', 'part', 'of', 'pm', 'narendra', 'modis', 'lok', 'sabha', 'poll', 'campaign', 'under', 'service', 'tax', 'scanner']
['expansion', 'of', 'smart', 'cities', 'list', 'to', 'evenly', 'distribute', 'benefits']
['parsvnath', 'turns', 'into', 'black', 'posts', 'profit', 'of', 'rs', '5', '93', 'crore', 'in', 'q4']
['leecos', 'big', 'five', 'offers', 'for', 'flipkarts', 'big', 'shopping', 'days', 'earphones', 'cashback', 'exchange', 'offer', 'supertainment', 'and', 'much', 'more', 'await']
['indian', 'tablet', 'market', 'grows', '1', '3', 'y', 'o', 'y', 'in', 'q1', '2016', 'idc']
['arvind', 'kejriwal', 'calls', 'bjp', 'congress', 'dharna', 'parties']
['cabinet', 'may', 'consider', 'capital', 'goods', 'policy', 'tomorrow']
['industries', 'facing', 'disaster', 'digvijaya', 'singh', 'on', 'narendra', 'modi', 'governments', '2nd', 'anniversary']
['delhi', 'high', 'court', 'asks', 'roche', 'to', 'explain', 'lawsuit', 'over', 'avastin', 'copy']
