['amazon', 'launches', 'global', 'store', 'in', 'india']
['indian', 'coffee', 'output', 'to', 'decline', 'this', 'fiscal', 'say', 'planters']
['phelan', 'appointed', 'permanent', 'hull', 'city', 'manager']
['confident', 'koeman', 'says', 'everton', 'can', 'prevail', 'over', 'risky', 'city']
['india', 'takes', 'a', 'significant', 'step', 'to', 'control', 'emission', 'from', 'climate', 'damaging', 'refrigerantsmakes', 'producers', 'fall', 'in', 'line']
['soccer', 'neymar', 'vows', 'to', 'continue', 'showboating', 'despite', 'criticism']
['government', 'orders', 'companies', 'to', 'urgently', 'and', 'immediately', 'destroy', 'hfc', '23']
['infantino', 'says', '32', '40', 'and', '48', 'team', 'world', 'cups', 'on', 'the', 'table']
['infantino', 'says', '32', '40', 'and', '48', 'team', 'world', 'cups', 'on', 'the', 'table']
['neymar', 'vows', 'to', 'continue', 'showboating', 'despite', 'criticism']
['update', '1', 'soccer', 'infantino', 'says', '32', '40', 'and', '48', 'team', 'world', 'cups', 'on', 'the', 'table']
['tcs', 'n', 'chandrasekaran', 'shrugs', 'off', 'donald', 'trump', 'brexit', 'fears']
['religion', 'cant', 'dictate', 'upon', 'rights', 'of', 'individuals', 'arun', 'jaitley']
['lack', 'of', 'reforms', 'created', 'huge', 'npas', 'in', 'infra', 'power', 'sectors', 'arun', 'jaitley']
['morgan', 'stanley', 'says', 'switch', 'to', 'large', 'caps', 'from', 'mid', 'caps']
['golf', 'european', 'tour', 'british', 'masters', 'scores']
['update', '1', 'soccer', 'phelan', 'appointed', 'permanent', 'hull', 'city', 'manager']
['subramanian', 'swamy', 'takes', 'a', 'dig', 'at', 'raghuram', 'rajan', 'again', 'over', 'inflation']
['kerber', 'progresses', 'venus', 'shocked', 'in', 'hong', 'kong']
['car', 'wash', 'startup', 'robovac', 'secures', 'funding', 'merges', 'with', 'rival']
['soccer', 'bradley', 'urges', 'swansea', 'to', 'take', 'game', 'to', 'arsenal']
['reuters', 'sports', 'news', 'summary']
['food', 'processing', 'minister', 'harsimrat', 'kaur', 'badal', 'discusses', 'sector', 'fdi', 'issues', 'roadblocks']
['call', 'centre', 'racket', 'special', 'devices', 'used', 'to', 'target', 'us', 'citizens']
['digital', 'agency', 'gozoop', 'in', 'talks', 'to', 'buy', 'offline', 'activation', 'co', '56', 'blue', 'lights']
['thermal', 'power', 'generation', 'rose', 'by', '0', '3', 'pc', 'in', 'q2', 'report']
['reputation', 'risk', 'outweighs', 'cost', 'impact', 'of', 'samsung', 'recall', 'fitch']
['goair', 'to', 'increase', 'fleet', 'size', 'to', '26', 'in', 'fy17']
