['recent', 'fdi', 'norms', 'to', 'benefit', 'offline', 'retailers', 'crisil']
['alkem', 'gets', '8', 'observations', 'from', 'ukmhra', 'for', 'taloja', 'plant']
['49', 'gujarat', 'psus', 'posted', 'profit', '13', 'incurred', 'losses', 'cag']
['rbi', 'to', 'cut', 'repo', 'rate', 'by', '0', '25', 'on', 'april', '5', 'morgan', 'stanley']
['ban', 'on', 'big', 'cars', 'remains', 'no', 'relief', 'for', 'auto', 'majors']
['xiaomi', 'ups', 'offline', 'play', 'to', 'launch', 'more', 'products', 'this', 'year']
['artists', 'to', 'propose', 'alternative', 'plans', 'for', 'venkatappa', 'art', 'gallery']
['india', 'us', 'sign', 'mou', 'for', 'setting', 'up', 'ligo', 'observatory', 'in', 'india']
['25', 'cap', 'on', 'sales', 'per', 'vendor', 'for', 'market', 'place', 'e', 'commerce', 'player', 'is', 'reasonable', 'govt', 'official']
['china', 'again', 'blocks', 'indias', 'bid', 'at', 'un', 'for', 'ban', 'of', 'jem', 'chief', 'masood', 'azhar']
['ivrcl', 'will', 'cooperate', 'in', 'flyover', 'collapse', 'investigation']
['uber', 'ola', 'give', 'free', 'rides', 'to', 'and', 'from', 'site', 'of', 'flyover', 'collapse']
['air', 'asia', 'pilot', 'accuses', 'vijay', 'mallya', 'of', 'fraud', 'moves', 'court']
['tata', 'motors', 'divests', 'stake', 'in', 'sheba', 'properties', 'for', 'rs', '405', 'crore']
['bjp', 'not', 'to', 'seek', 'or', 'extend', 'support', 'to', 'aiudf', 'congress', 'in', 'assam', 'amit', 'shah']
['rift', 'in', 'pakistans', 'civil', 'military', 'relations']
['facebook', 'activates', 'safety', 'check', 'after', 'kolkata', 'flyover', 'collapse']
['government', 'implementing', 'measures', 'for', 'startups', 'at', 'faster', 'pace', 'dipp']
['csr', 'cannot', 'be', 'forced', 'down', 'somebodys', 'throat', 'piyush', 'goyal']
['of', '5527', 'missing', 'children', 'in', 'bihar', '1667', 'have', 'been', 'recovered', 'minister']
['congress', 'not', 'interested', 'in', 'development', 'of', 'poor', 'nitin', 'gadkari']
['cag', 'raps', 'ahmedabad', 'metro', 'for', 'wasteful', 'spending']
['rbi', 'notifies', '49', 'fdi', 'under', 'automatic', 'route', 'in', 'insurance']
['above', 'normal', 'temperature', 'this', 'summer', 'imd']
['mining', 'sites', 'in', 'goa', 'to', 'be', 'auctioned', 'in', 'future', 'laxmikant', 'parsekar']
['banks', 'can', 'claw', 'back', 'rs', '1', '2', 'lakh', 'crore', 'from', 'cps', 'with', 'mclr', 'regime', 'india', 'ratings']
['85', 'per', 'cent', 'pictorial', 'warning', 'on', 'tobacco', 'products', 'in', 'force', 'from', 'tomorrow']
['april', 'february', 'fiscal', 'deficit', 'at', '86', '5', 'billion', 'government']
['m', 'j', 'infrastructure', 'plans', 'rs', '1000', 'crore', 'investment', 'in', 'kerala', 'realty', 'sector']
['pm', 'narendra', 'modi', 'begins', 'his', 'day', 'in', 'us', 'with', 'interaction', 'with', 'indian', 'diaspora']
['kec', 'international', 'bags', 'orders', 'worth', 'rs', '836', 'crore']
['prasar', 'bharti', 'to', 'sign', 'mou', 'with', 'turkish', 'state', 'broadcaster', 'trt', 'for', 'content', 'collaboration']
['cag', 'pulls', 'up', 'gujarat', 'state', 'petroleum', 'corporation', 'online', 'first']
['four', 'umpps', 'may', 'go', 'under', 'the', 'hammer', 'in', 'fy17', 'piyush', 'goyal']
['leeco', 'invests', '10', 'mn', 'to', 'set', 'up', 'content', 'delivery', 'networks', 'in', '10', 'indian', 'cities']
['indiabulls', 'housing', 'announces', 'merger', 'of', 'two', 'subsidiaries']
['coal', 'demand', 'of', 'states', 'psus', 'to', 'be', 'met', 'first', 'piyush', 'goyal']
['government', 'to', 'monitor', 'psu', 'capital', 'expenditure', 'on', 'monthly', 'basis']
['fdcs', 'banned', 'over', 'safety', 'efficacy', 'concerns', 'centre', 'tells', 'hc']
['goair', 'starts', 'flights', 'between', 'mumbai', 'leh']
