['metro', 'trial', 'run', 'on', 'ito', 'kashmere', 'gate', 'to', 'begin', 'in', 'july', 'dmrc']
['jayalalithaa', 'urges', 'pm', 'narendra', 'modi', 'to', 'act', 'decisively', 'on', 'fishermen', 'issue']
['protect', 'booths', 'like', 'forts', 'surjya', 'kanta', 'mishra', 'asks', 'cpim', 'workers']
['smriti', 'irani', 'unveils', 'bronze', 'bust', 'of', 'aryabhatta', 'at', 'unesco', 'headquarters']
['plagiarism', 'charges', 'against', 'hyderabad', 'university', 'vc', 'hrd', 'ministry', 'seeks', 'comments', 'from', 'him']
['ssg', 'capital', 'to', 'buy', '40', 'stake', 'in', 'future', 'supply', 'chain', 'solutions']
['air', 'india', 'scales', 'up', 'domestic', 'international', 'operations', 'for', 'summer', 'schedule']
['university', 'grants', 'commission', 'seeks', 'details', 'over', 'llm', 'courses']
['india', 'did', 'not', 'present', 'witnesses', 'belonging', 'to', 'security', 'forces', 'pak', 'on', 'jit', 'visit']
['daughter', 'reveals', 'biju', 'patnaiks', 'plans', 'to', 'topple', 'the', 'british']
['nabard', 'to', 'raise', 'rs', '50000', 'crore', 'in', 'fy', '16']
['dont', 'take', '2017', 'up', 'polls', 'lightly', 'want', 'bigger', 'mandate', 'mulayam', 'singh']
['nda', 'govt', 'has', 'different', 'yardsticks', 'on', 'nationalism', 'congress']
['crisil', 'launches', 'seven', 'new', 'indices']
['mounting', 'pressure', 'on', 'tatas', 'uk', 'labour', 'union', 'gmb', 'alleges', 'visa', 'rule', 'abuse', 'by', 'tcs']
['assembly', 'polls', 'assam', 'congress', 'begins', 'premature', 'celebration']
['congress', 'demands', 'sc', 'monitored', 'probe', 'into', 'banknote', 'tender', 'issue']
['us', 'president', 'barack', 'obama', 'asks', 'top', 'military', 'commanders', 'to', 'ensure', 'defeat', 'of', 'isis']
['nabard', 'profit', 'up', '13', 'pc', 'to', 'rs', '2501', 'crore', 'in', 'fy16']
['voter', 'turnout', 'above', '84', 'per', 'cent', 'in', 'first', 'phase', 'of', 'bengal', 'polls']
['banks', 'seek', 'better', 'repayment', 'offer', 'from', 'vijay', 'mallya']
['10', 'judges', 'including', '2', 'from', 'delhi', 'high', 'court', 'transferred']
['celebrities', 'should', 'be', 'allowed', 'to', 'advertise', 'junk', 'food', 'cse']
['jammu', 'and', 'kashmir', 'chief', 'minister', 'has', 'assured', 'me', 'regarding', 'security', 'at', 'nit', 'smriti', 'irani']
['president', 'pranab', 'mukherjee', 'condoles', 'death', 'of', 'kamla', 'advani']
['government', 'to', 'launch', 'web', 'portal', 'for', 'power', 'procurement', 'by', 'discoms']
['arunachal', 'cm', 'seeks', 'centres', 'help', 'for', 'micro', 'hydel', 'projects']
['air', 'india', 'launches', 'direct', 'flights', 'between', 'delhi', 'and', 'vienna']
['abb', 'betting', 'on', 'india', 'opportunities', 'ceo', 'spiesshofer', 'says', 'group', 'on', 'hiring', 'mode', 'here']
['uk', 'claims', 'visa', 'changes', 'will', 'not', 'impact', 'majority', 'of', 'indians']
['rs', '1', 'lakh', 'health', 'coverage', 'soon', 'for', '8', 'crore', 'families', 'j', 'p', 'nadda']
