['india', 'quotient', 'to', 'raise', '60', 'million', 'as', 'part', 'of', 'third', 'fund', 'in', '2017']
['environmental', 'lobby', 'groups', 'blame', 'production', 'methods', 'of', 'drug', 'companies', 'for', 'rise', 'in', 'drug', 'resistant', 'bacteria']
['how', 'to', 'bond', 'with', 'a', 'post', 'brexit', 'britain']
['pakistan', 'declares', 'indian', 'official', 'persona', 'non', 'grata']
['pm', 'narendra', 'modi', 'forms', '10', 'groups', 'of', 'secretaries', 'to', 'focus', 'on', 'specific', 'sectors']
['pak', 'will', 'cease', 'to', 'exist', 'on', 'world', 'map', 'jk', 'dy', 'cm', 'nirmal', 'singh']
['air', 'quality', 'severe', 'city', 'braces', 'for', 'critically', 'polluted', 'days']
['jem', 'chief', 'masood', 'azhar', 'is', 'a', 'terrorist', 'says', 'musharraf']
['ratan', 'tata', 'meets', 'lic', 'chairman', 'v', 'k', 'sharma']
['pvr', 'q2', 'net', 'profit', 'down', '5', 'to', 'rs', '29', '13', 'crore']
['cell', 'phone', 'cars', 'some', 'other', 'consumer', 'goods', 'become', 'costlier', 'in', 'assam']
['large', 'scale', 'mining', 'and', 'quarrying', 'on', 'yamuna', 'bed', 'in', 'haryana', 'report']
['jet', 'airways', 'to', 'start', '28', 'more', 'flights', 'next', 'year', 'between', 'india', 'and', 'abu', 'dhabi']
['mckinsey', 'india', 'ceo', 'noshir', 'kaka', 'to', 'transition', 'to', 'a', 'global', 'role', 'new', 'leader', 'to', 'be', 'elected', 'soon']
['surat', 'diamond', 'merchant', 'gifts', '400', 'flats', '1260', 'cars', 'to', 'his', 'employees', 'as', 'diwali', 'gifts']
['gstn', 'inks', 'mou', 'with', 'dgft', 'for', 'sharing', 'of', 'forex', 'realisation', 'data']
['ab', 'ki', 'baar', 'trump', 'sarkar', 'says', 'donald', 'trump', 'in', 'new', 'campaign', 'ad']
['rbi', 'allows', 'start', 'ups', 'to', 'raise', '3', 'million', 'through', 'ecbs']
['pnb', 'housings', 'ipo', 'subscribed', '68', 'issue', 'closes', 'today']
['bonds', 'slip', 'call', 'rates', 'turn', 'higher']
['rajesh', 'wadhawan', 'group', 'enters', 'film', 'production', 'business']
['cyrus', 'mistry', 'ropes', 'in', 'senior', 'advocates', 'to', 'fight', 'legal', 'battle', 'against', 'tata', 'group']
['union', 'cabinet', 'gives', 'ex', 'post', 'facto', 'approval', 'to', 'iiser', 'in', 'odisha', 'lead', 'with', 'corrections']
['jet', 'airways', 'to', 'start', 'thiruvananthapuram', 'dubai', 'flight']
['firstsource', 'solutions', 'q2', 'net', 'jumps', 'over', '21', 'at', 'rs', '71', '3', 'crore']
['shriram', 'city', 'union', 'finance', 'q2', 'profit', 'up', '34', 'per', 'cent', 'at', 'rs', '204', '4', 'crore']
['mayawati', 'hits', 'back', 'at', 'amit', 'shah', 'for', 'kalyan', 'type', 'govt', 'remark']
