['bharti', 'airtel', 'q2', 'beats', 'street', 'net', 'profit', 'flat', 'at', 'rs', '1460crore', 'qoq']
['igrua', 'may', 'cut', 'pilot', 'training', 'fee', 'by', 'rs', '5', 'lakh']
['supreme', 'court', 'asks', 'vijay', 'mallya', 'to', 'disclose', 'his', 'foreign', 'assets', 'in', 'a', 'month']
['agriculture', 'ministry', 'working', 'with', 'icar', 'to', 'meet', 'pulse', 'shortage']
['cyrus', 'mistry', 'a', 'chairman', 'who', 'struggled', 'with', 'a', 'difficult', 'global', 'economy']
['india', 'ranks', '130', 'in', 'ease', 'of', 'doing', 'business', 'moves', 'one', 'place', 'world', 'bank', 'report']
['devotees', 'must', 'show', 'aadhaar', 'cards', 'for', 'accommodation', 'in', 'tirumala']
['zeel', 'q2fy17', 'net', 'up', '27', 'to', 'rs', '238', '4', 'cr', 'on', 'the', 'back', 'of', 'strong', 'revenue', 'growth']
['adani', 'ports', 'and', 'special', 'economic', 'zone', 'consolidated', 'net', 'profit', 'for', 'the', 'july', 'september', 'quarter', 'up', '61']
['ralph', 'speth', 'n', 'chandrasekaran', 'join', 'tata', 'sons', 'board']
['anti', 'talk', 'ulfa', 'warns', 'against', 'the', 'citizenship', 'amendment', 'bill', '2016']
['indian', 'economy', 'can', 'reach', 'usd', '6', '8', 'trillion', 'mark', 'in', '15', 'years', 'arvind', 'panagariya']
['retailers', 'demand', 'for', 'chinese', 'goods', 'dips', '45', 'on', 'boycott', 'call']
['airports', 'authority', 'of', 'india', 'launches', 'a', 'cargo', 'subsidiary']
['avoid', 'any', 'speculation', 'about', 'change', 'in', 'leadership', 'in', 'tata', 'sons', 'tata', 'communication', 'to', 'employees']
['high', 'reserve', 'prices', 'in', 'fm', 'radio', 'auction', 'worry', 'bidders']
['google', 'launches', 'google', 'trips', 'in', 'india']
['videocon', 'eyes', '100', 'growth', 'in', 'handset', 'sales', 'in', 'nine', 'months']
['tonne', 'as', 'first', 'installment']
['government', 'plans', 'salary', 'hike', 'of', 'president', 'vice', 'president', 'governors']
['niti', 'aayogs', 'three', 'year', 'action', 'plan', 'to', 'start', 'from', '2017', '18', 'arvind', 'panagariya']
['hsbc', 'initiates', 'coverage', 'on', 'phoenix', 'mills', 'with', 'buy']
['uttar', 'pradesh', 'congress', 'committee', 'discussed', 'strategies', 'for', 'the', 'success', 'of', 'dalit', 'yatra', 'programme']
['fssai', 'to', 'soon', 'notify', 'new', 'standards', 'for', 'food', 'supplements']
['airtel', 'sharply', 'narrows', 'q2', 'loss', 'in', 'africa', 'as', 'data', 'consumption', 'grows', 'currency', 'fluctuation', 'stabalises']
['bonds', 'drop', 'call', 'rates', 'turn', 'lower']
['bond', 'market', 'shows', 'traders', 'are', 'not', 'ready', 'for', 'three', 'us', 'fed', 'rate', 'hikes']
['tata', 'caveat', 'not', 'an', 'aggressive', 'initiative', 'usual', 'practice', 'says', 'counsel']
['pm', 'narendra', 'modi', 'should', 'not', 'intervene', 'in', 'triple', 'talaq', 'issue', 'mayawati']
['motilal', 'oswal', 'invests', 'rs', '100', 'crore', 'in', 'ganesh', 'grains']
['everstone', 'capital', 'invests', 'rs', '220', 'crore', 'in', 'rubicon', 'research']
['govt', 'targets', '50', 'jump', 'in', 'pulses', 'output', 'by', 'in', 'four', 'years']
['hurriyat', 'conference', 'not', 'against', 'dialogue', 'mirwaiz']
['foreign', 'investors', 'overweight', 'on', 'indian', 'market', 'ubs']
['1', 'of', 'pnb', 'housing', 'finance', 'ipo', 'subscribed', 'in', 'first', 'half', 'an', 'hour']
['no', 'one', 'has', 'right', 'to', 'snatch', 'tribals', 'land', 'narendra', 'modi']
['ngt', 'notice', 'to', 'centre', 'on', 'plea', 'challenging', 'forest', 'clearance', 'to', 'yettinahole']
['rupee', 'advances', '3', 'paise', 'to', '66', '82', 'against', 'us', 'dollar']
['lt', 'infotech', 'to', 'buy', 'pune', 'based', 'analytics', 'startup', 'for', 'about', 'rs', '7', 'crore']
['sp', 'feud', 'mulayam', 'singh', 'yadav', 'projects', 'all', 'is', 'well', 'image']
['et', 'defence', 'bulletin', 'stories', 'you', 'should', 'not', 'miss', 'october', '25', '2016']
['lt', 'finance', 'q2', 'net', 'up', '33']
['honda', 'accord', 'returns', 'to', 'india', 'in', 'its', 'all', 'new', 'hybrid', 'avatar', 'for', 'rs', '37', 'l']
['feud', 'like', 'that', 'in', 'mulayam', 'family', 'brewing', 'in', 'lalus', 'family', 'sushil', 'modi']
['will', 'cash', 'availability', 'slow', 'the', 'trickle', 'down', 'of', 'rbis', 'rate', 'cuts']
['granules', 'indias', 'net', 'profit', 'up', '26', 'pc', 'to', 'rs', '41', 'cr', 'in', 'q2']
['government', 'proposes', 'deadline', 'to', 'fly', 'back', 'de', 'registered', 'leased', 'planes']
['now', 'cyrus', 'mistry', 'denies', 'filing', 'caveats', 'against', 'tata', 'trusts']
['a', 'company', 'is', 'as', 'good', 'as', 'its', 'team', 'always', 'run', 'a', 'thorough', 'screening', 'before', 'hiring']
['virgin', 'america', 'just', 'revealed', 'shoes', 'having', 'a', 'wifi', 'hotspot', 'in', 'built', 'charger', 'and', 'a', 'display', 'screen']
['umesh', 'revankar', 'back', 'as', 'head', 'of', 'shriram', 'transport', 'finance']
['tech', 'view', 'hanging', 'man', 'pattern', 'on', 'nifty', 'charts', 'trade', 'with', 'caution']
['mstc', 'launches', 'm3', 'metal', 'mandi', 'a', 'virtual', 'market', 'for', 'metal', 'transactions']
['mope', 'to', 'launch', '2000', 'crore', 'fund', 'pumps', 'rs', '100', 'crore', 'in', 'ganesh', 'brand']
['mission', 'of', 'digital', 'india', 'to', 'empower', 'common', 'man', 'ravi', 'shankar', 'parsad']
['how', 'raw', 'pressery', 'is', 'saving', 'the', 'environment', 'and', 'helping', 'farmers', 'at', 'the', 'same', 'time']
['economy', 'to', 'grow', '8', 'per', 'cent', 'agri', 'sector', 'over', '4', 'per', 'cent', 'this', 'fiscal', 'shaktikanta', 'das']
