['with', 'iwttp', 'in', 'place', 'tripura', 'to', 'get', 'food', 'fuel', 'via', 'bangladesh']
['convert', 'deserted', 'mining', 'pits', 'into', 'green', 'projects', 'parsekar']
['aaps', 'youth', 'manifesto', 'is', 'bunch', 'of', 'stolen', 'ideas', 'from', 'cong', 'amarinder', 'singh']
['sad', 'bjp', 'are', 'jittery', 'as', 'aap', 'to', 'sweep', '2017', 'punjab', 'polls', 'arvind', 'kejriwal']
['pay', 'panel', 'award', 'may', 'not', 'be', 'the', 'game', 'changer', 'you', 'think', 'it', 'will', 'be']
['punjab', 'polls', 'aap', 'promises', '25', 'lakhs', 'jobs', 'free', 'wi', 'fi', 'hotspots', 'in', 'villages']
['one', 'critically', 'injured', 'in', 'an', 'explosion', 'in', 'new', 'yorks', 'central', 'park']
['congress', 'flays', 'centre', 'on', 'seventh', 'pay', 'commission']
['motorists', 'obstructing', 'ambulances', 'will', 'pay', 'penalty', 'manish', 'sisodia']
['petition', 'seeks', 'case', 'against', 'owaisi', 'bjp', 'jdu', 'demands', 'arrest']
['india', 'virat', 'kohli', 'maintain', 'status', 'quo', 'in', 'icc', 'rankings']
['terrorism', 'should', 'not', 'be', 'linked', 'to', 'religion', 'bandaru', 'dattatreya']
['environment', 'ministry', 'steps', 'in', 'to', 'catch', 'violators', 'who', 'remain', 'unpunished', 'in', 'past', 'one', 'year']
['india', 'slips', 'to', '75th', 'place', 'on', 'money', 'in', 'swiss', 'banks', 'uk', 'on', 'top']
['cji', 't', 's', 'thakur', 'asks', 'telangana', 'advocates', 'to', 'withdraw', 'strike']
['pcb', 'chief', 'shaharyar', 'khan', 'courts', 'controversy', 'over', 'daily', 'allowance', 'in', 'uk']
['government', 'to', 'spend', 'more', 'on', 'equipment', 'aids', 'for', 'disabled', 'persons']
['brics', 'youth', 'summit', 'calls', 'for', 'shift', 'of', 'power', 'from', 'the', 'west']
['is', 'animosity', 'ending', 'between', 'nitish', 'manjhi']
['world', 'condemns', 'dhaka', 'attack', 'in', 'one', 'voice', 'us', 'japan', 'offer', 'help']
['hll', 'lifecare', 'launches', 'op', 'clinics']
['uttarakhand', 'cloudburst', '3', 'more', 'bodies', 'recovered', 'toll', 'rises', 'to', '18']
['rains', 'lash', 'many', 'parts', 'of', 'country', 'toll', 'rises', 'to', '18', 'in', 'uttarakhand']
['uk', 'should', 'keep', 'brexit', 'options', 'open', 'tony', 'blair']
