['tamil', 'nadu', 'culture', 'tamil', 'pride', 'reflects', 'hindutva', 'muralidhar', 'rao']
['haryana', 'cm', 'manohar', 'lal', 'khattar', 'orders', 'setting', 'deadline', 'to', 'dlf', 'over', 'colony', 'construction']
['jayalalithaa', 'defends', 'shower', 'of', 'freebies', 'says', 'aiadmk', 'is', 'pro', 'poor']
['congress', 'sad', 'in', 'punjab', 'ruined', 'each', 'and', 'every', 'household', 'arvind', 'kejriwal']
['ram', 'madhav', 'expresses', 'concern', 'over', 'growing', 'anti', 'india', 'rhetoric', 'in', 'nepal']
['rs', '7000', 'crore', 'from', 'namami', 'gange', 'project', 'will', 'be', 'spent', 'in', 'up', 'uma', 'bharti']
['nepalese', 'ambassador', 'stays', 'put', 'in', 'delhi', 'despite', 'reports', 'of', 'recall']
['rabindranth', 'tagore', 'project', 'launched', 'in', 'london']
['three', 'cms', 'opposing', 'special', 'status', 'to', 'ap', 'ashok', 'gajapathi', 'raju']
['bjps', 'focus', 'on', 'development', 'eradicating', 'corruption', 'pm', 'narendra', 'modi']
['bihar', 'government', 'performing', 'better', 'than', 'narendra', 'modi', 'government', 'tejashwi', 'yadav']
['inner', 'line', 'permit', 'ilp', 'issue', 'in', 'manipur', 'heats', 'up']
['worlds', 'first', 'herbivorous', 'marine', 'reptile', 'found']
['mudra', 'benefits', 'yet', 'to', 'reach', 'last', 'mile', 'borrower', 'cait']
['aviation', 'minister', 'ashok', 'gajapathi', 'raju', 'bats', 'for', 'solar', 'units', 'at', 'all', 'airports']
['bjp', 'to', 'start', 'organizational', 'restructuring', 'in', 'assam']
['how', 'can', 'a', 'mother', 'punish', 'children', 'on', 'biased', 'reports', 'and', 'doctored', 'videos', 'kanhaiya', 'kumar', 'asks', 'smriti', 'irani']
['we', 'require', 'more', 'than', '70000', 'judges', 'to', 'clear', 'pending', 'cases', 'cji', 'ts', 'thakur']
['wasp', 'species', 'discovered', 'in', 'india', 'and', 'sa', 'named', 'after', 'brad', 'pitt']
['ak', 'antony', 'hits', 'back', 'at', 'bjp', 'on', 'chopper', 'deal']
['on', 'election', 'trail', 'in', 'tamil', 'nadu', 'pm', 'narendra', 'modi', 'attacks', 'congress', 'on', 'chopper', 'scam']
['new', 'purported', 'sting', 'targets', 'harish', 'rawat', 'bjp', 'congress', 'trade', 'charges']
['apple', 'teams', 'up', 'with', 'facebook', 'to', 'hail', 'mothers', 'around', 'the', 'world']
['ajl', 'plot', 'case', 'fir', 'against', 'bhupinder', 'singh', 'hooda', 'four', 'others']
['references', 'to', 'jawaharlal', 'nehru', 'in', 'school', 'textbook', 'omitted', 'in', 'rajasthan']
['not', 'fully', 'giving', 'lower', 'fuel', 'cost', 'benefits', 'to', 'customers', 'indigo']
['rabindranath', 'tagores', 'ideas', 'can', 'guide', 'china', 'india', 'relations', 'ma', 'zhanwu']
['industry', 'lobby', 'expects', '10', '15', 'gold', 'sales', 'growth', 'on', 'akshaya', 'tritiya']
['harish', 'rawat', 'alleges', 'phones', 'being', 'tapped', 'mlas', 'threatened', 'in', 'uttarakhand']
['nearly', '7', 'lakh', 'people', 'employed', 'under', 'employment', 'generation', 'programme', 'kalraj', 'mishra']
['tech', 'view', 'nifty50', 'made', 'spinning', 'top', 'pattern', 'on', 'weekly', 'charts', 'heres', 'why', '7800', 'is', 'an', 'important', 'level']
['taxi', 'drivers', 'protest', 'outside', 'arvind', 'kejriwals', 'residence']
['arvind', 'kejriwal', 'rally', 'litmus', 'test', 'for', 'aap', 'in', 'goa']
['big', 'b', 'pays', 'tribute', 'to', 'rabindranath', 'tagore', 'on', '155th', 'birth', 'anniversary']
['kerala', 'polls', 'politics', 'of', 'left', 'right', 'centre', 'in', 'the', 'state']
['india', 'ranks', 'ninth', 'in', 'crony', 'capitalism', 'index']
['denied', 'water', 'access', 'dalit', 'man', 'digs', 'own', 'well', 'in', 'maharashtra', 'village']
['why', 'the', 'angry', 'birds', 'is', 'making', 'headlines']
['piyush', 'goyal', 'blames', 'corrupt', 'dmk', 'aiadmk', 'for', 'losses', 'in', 'tamil', 'nadu', 'power', 'sector']
['snapdeal', 'ties', 'up', 'with', 'urbanclap', 'to', 'offer', 'personal', 'services', 'on', 'its', 'android', 'app']
['china', 'deploys', 'new', 'generation', 'rocket', 'for', 'space', 'missions']
['heres', 'what', 'people', 'across', 'towns', 'and', 'cities', 'in', 'india', 'are', 'reading']
['cil', 'customers', 'support', 'withdrawal', 'of', 'incentive', 'policy']
['indias', '911', 'like', 'emergency', 'number', '112', 'to', 'be', 'active', 'from', 'january', '1']
['home', 'prices', 'hit', 'roof', 'but', 'affordability', 'also', 'at', 'its', 'best', 'hdfc']
['dont', 'just', 'change', 'regimesthink', 'of', 'future', 'pm', 'narendra', 'modi', 'to', 'kerala', 'voters']
['how', 'climate', 'smart', 'agriculture', 'is', 'crucial', 'for', 'indias', 'food', 'security', 'at', 'a', 'time', 'of', 'farm', 'distress']
['the', 'week', 'that', 'was', 'second', 'consecutive', 'weekly', 'loss', 'wipes', 'out', 'rs', '1', '35', 'lakh', 'crore', 'investor', 'wealth']
['new', 'algorithm', 'to', 'teach', 'computers', 'human', 'languages']
['trams', 'renovated', 'to', 'celebrate', 'kolkatas', 'colonial', 'era', 'heritage']
['238', 'infra', 'projects', 'to', 'cost', 'rs', '1', '6', 'lakh', 'crore', 'more', 'on', 'delays']
['deepak', 'kabu', 'joins', 'ziox', 'mobiles', 'as', 'ceo']
['isi', 'made', 'haqqani', 'talibans', 'no', '2', 'to', 'protect', 'him', 'from', 'us', 'report']
[]
['politics', 'of', 'compromise', 'between', 'udf', 'and', 'ldf', 'in', 'kerala', 'narendra', 'modi']
['two', 'thirds', 'of', 'big', 'uk', 'businesses', 'hit', 'in', 'cyber', 'attacks', 'in', '2015', 'survey']
['sebi', 'expands', 'probe', 'into', 'financial', 'dealings', 'of', 'mallya', 'firms']
['amitabh', 'bachchan', 'to', 'alia', 'bhatt', 'b', 'town', 'tweets', 'mushy', 'mothers', 'day', 'wishes']
['lakshmi', 'vilas', 'bank', 'draws', 'up', 'plan', 'to', 'revitalise', 'business']
['bsnl', 'to', 'sign', '2g', 'roaming', 'pact', 'with', 'jio', 'vodafone', 'this', 'month']
['fdi', 'in', 'food', 'government', 'may', 'permit', 'foreign', 'companies', 'to', 'import', 'ingredients']
['cic', 'issues', 'fresh', 'notice', 'to', 'sonia', 'gandhi', 'in', 'rti', 'matter']
['indian', 'companies', 'revisit', 'appraisal', 'template', 'for', 'the', 'right', 'talent']
['beware', 'your', 'hairstyle', 'choice', 'may', 'increase', 'hair', 'loss', 'risk']
['reforms', 'to', 'solve', 'economys', 'core', 'problems', 'not', 'visibleila', 'patnaik']
['revenue', 'dept', 'taking', 'steps', 'to', 'boost', 'growth', 'jobs', 'finance', 'ministry']
['appointments', 'panel', 'says', 'no', 'to', 'psebs', 'choice', 'for', 'nmdc', 'top', 'job']
['e', 'tailers', 'see', 'gold', 'diamonds', 'boosting', 'sales', 'on', 'akshaya', 'tritiya']
['mutual', 'fund', 'houses', 'to', 'pay', '0', '01', 'of', 'aum', 'to', 'amfi', 'for', 'investor', 'awareness', 'drive']
['gm', 'pens', 'to', 'go', 'solo', 'eyes', 'global', 'market', 'with', 'own', 'brand', 'rorito']
['mgl', 'ipo', 'in', 'pipeline', 'this', 'month', 'to', 'raise', 'rs', '1200', 'crore']
['nasa', 'unveils', 'first', 'global', 'topographic', 'model', 'of', 'mercury']
['air', 'cooler', 'makers', 'eye', 'sales', 'jackpot', 'as', 'mercury', 'soars']
['vvip', 'chopper', 'deal', 'christian', 'michels', 'driver', 'spills', 'beans', 'on', 'india', 'contacts', 'funds', 'links']
['government', 'mulling', 'ligo', 'project', 'to', 'study', 'gravitational', 'waves']
['those', 'who', 'smoke', 'drink', 'cant', 'vote', 'in', 'sgpc', 'polls', 'president', 'gives', 'nod', 'to', 'law']
['why', 'doesnt', 'ngma', 'have', 'space', 'for', 'adivasi', 'artists', 'asks', 'venkat', 'raman', 'singh', 'shyam']
['hc', 'rejects', 'bail', 'of', 'micheal', 'ferreira', '4', 'others', 'in', 'qnet', 'case']
['a', 'taste', 'for', 'travel', 'indians', 'are', 'getting', 'hungry', 'for', 'gourmet', 'vacations']
['gadgets', 'and', 'apps', 'that', 'are', 'taking', 'over', 'the', 'tech', 'world']
['raghuram', 'rajan', 'questions', 'helicopter', 'money', 'says', 'people', 'may', 'not', 'spend']
['this', 'narendra', 'modi', 'doesnt', 'like', 'the', 'attention', 'hes', 'getting']
['supreme', 'court', 'collegium', 'objects', 'to', 'clauses', 'that', 'give', 'govt', 'say', 'in', 'appointment', 'of', 'judges']
['prime', 'minister', 'narendra', 'modi', 'likely', 'to', 'launch', 'work', 'on', 'clean', 'ganga', 'action', 'plan', 'mid', 'may']
['indias', 'single', 'emergency', 'number', '112', 'to', 'be', 'active', 'from', 'january', '1']
['fintech', 'operation', 'will', 'be', 'many', 'times', 'bigger', 'than', 'ecommerce', 'paytms', 'vijay', 'shekhar', 'sharma']
['fpis', 'take', 'out', 'rs', '774', 'crore', 'from', 'stock', 'market', 'in', 'a', 'week']
['4th', 'death', 'row', 'convicts', 'socio', 'economically', 'backward', 'report']
['domestic', 'crude', 'export', 'not', 'economically', 'justified', 'centre', 'to', 'high', 'court']
['steel', 'consumption', 'falls', 'to', '1', 'year', 'low', 'of', '5', '75', 'mt', 'in', 'april']
['chopper', 'scam', 'arvind', 'kejriwal', 'says', 'pm', 'modi', 'scared', 'of', 'arresting', 'sonia', 'gandhi']
['review', 'fta', 'with', 'south', 'korea', 'parliamentary', 'panel', 'to', 'government']
['indias', 'e', 'commerce', 'sector', 'to', 'see', '120', 'billion', 'revenue', 'by', '2020', 'assocham', 'forrester', 'report']
['55669', 'villages', 'to', 'have', 'mobile', 'connectivity', 'by', '2019']
['sccls', 'coal', 'output', 'rises', '3', 'per', 'cent', 'to', '4', '44', 'mt', 'in', 'april']
['a', 'degree', 'to', 'die', 'for', 'of', 'the', '2', 'lakh', 'aspirants', 'for', 'iit', 'admission', 'only', '5', 'will', 'sail', 'through']
['delhi', 'court', 'summons', 'arvind', 'kejriwal', 'for', 'thulla', 'remark']
['jayalalithaa', 'prefers', 'to', 'stay', 'in', 'her', 'house', 'as', 'people', 'suffer', 'rahul', 'gandhi']
['supreme', 'court', 'stays', 'show', 'cause', 'notice', 'against', 'animal', 'welfare', 'board', 'on', 'jallikattu', 'issue']
['raghuram', 'rajan', 'favours', 'higher', 'tolerance', 'to', 'wealth', 'not', 'prohibition']
['china', 'cant', 'have', 'double', 'standards', 'on', 'terrorism', 'v', 'k', 'singh']
['fire', 'on', 'the', 'mountains', 'a', 'butterfly', 'experts', 'take', 'on', 'the', 'blazing', 'hills', 'of', 'uttarakhand']
['keralas', 'nirbhaya', 'is', 'brutal', 'reminder', 'of', 'cracks', 'in', 'our', 'social', 'values']
['uttarakhand', 'high', 'court', 'to', 'decide', 'fate', 'of', 'nine', 'rebel', 'congress', 'mlas', 'on', 'may', '9']
['belgian', 'woman', 'molested', 'by', 'ola', 'cab', 'driver', 'in', 'delhi']
['corporates', 'roll', 'out', 'benefits', 'for', 'new', 'mothers']
['manmadurai', 'rameswaram', 'rail', 'track', 'to', 'become', 'first', 'green', 'corridor']
['phase', 'out', 'old', 'vessels', 'parliamentary', 'panel', 'to', 'shipping', 'corporation']
['gdp', 'growth', 'slowing', 'official', 'data', 'counter', 'intuitive', 'ambit', 'capital']
['bankruptcy', 'code', 'positive', 'for', 'financial', 'sector', 'reform', 'nomura']
