['orlando', 'shooting', 'omar', 'mateen', 'was', 'on', 'tracking', 'radar', 'of', 'fbi']
['africa', 'outreach', 'pranab', 'mukherjee', 'first', 'indian', 'president', 'to', 'visit', 'ghana']
['chhota', 'shakeel', 'phone', 'in', 'after', 'yakub', 'memon', 'hanging', 'ib', 'asks', '2', 'leading', 'hindi', 'channels', 'to', 'follow', 'norms']
['no', 'legal', 'basis', 'for', 'ed', 'action', 'vijay', 'mallya']
['hillary', 'clinton', 'donald', 'trump', 'react', 'on', 'americas', 'worst', 'mass', 'shooting', 'incident']
['complainants', 'to', 'get', 'fir', 'copies', 'through', 'whatsapp', 'in', 'maharashtra']
['mumbai', 'to', 'host', 'gateway', 'of', 'india', 'dialogue', 'on', 'june', '13', '14']
['meet', 'some', 'of', 'the', 'toppers', 'in', 'jee', 'advanced', '2016']
['decision', 'on', 'bjps', 'face', 'for', 'up', 'by', 'the', 'parliament', 'board', 'ravi', 'shankar', 'prasad']
['facebook', 'microsoft', 'google', 'agree', 'to', 'work', 'with', 'bangladesh', 'government', 'minister']
['st', 'act', 'in', 'kerala']
['amit', 'shah', 'targets', 'sp', 'government', 'over', 'mathura', 'kairana', 'incidents']
['super', '30', 'scripts', 'another', 'success', 'with', '28', 'of', '30', 'cracking', 'iit', 'exam']
['coal', 'india', 'aims', 'to', 'buyback', 'shares', 'worth', 'rs', '1978', 'crore']
['patanjali', 'to', 'launch', 'more', 'dairy', 'itemsenter', 'cattle', 'feed', 'segment']
['bihar', 'education', 'department', 'initiates', 'operation', 'clean', 'up']
['digital', 'india', 'to', 'be', 'a', 'big', 'part', 'of', 'indian', 'growth', 'story', 'arogyaswami', 'paulraj']
['congress', 'crosses', '1', 'million', 'mark', 'on', 'twitter']
['jds', 'suspends', '8', 'rebel', 'mlas', 'for', 'cross', 'voting', 'in', 'rajya', 'sabha', 'polls']
['china', 'is', 'the', 'biggest', 'and', 'best', 'abuser', 'of', 'free', 'trade', 'donald', 'trump']
['us', 'lawmakers', 'propose', 'measures', 'to', 'prevent', 'h', '1b', 'visa', 'misuse']
['dissatisfied', 'with', 'modi', 'government', 'on', 'black', 'money', 'issue', 'baba', 'ramdev']
['electronics', 'industry', 'can', 'meet', 'apples', 'wish', 'list', 'on', 'purchase', 'assurance', 'iesa']
['soon', 'you', 'wont', 'need', 'to', 'carry', 'multiple', 'documents', 'for', 'air', 'travel']
['1000', 'more', 'mohalla', 'clinics', 'in', 'delhi', 'by', 'next', 'year', 'arvind', 'kejriwal']
['pm', 'narendra', 'modi', 'in', 'allahabad', 'for', 'bjp', 'conclave', 'visits', 'high', 'court']
['sebis', 'sahara', 'coffer', 'swells', 'to', 'rs', '11727', 'crore', 'refunds', 'rs', '55', 'crore']
['government', 'will', 'not', 'allow', 'a', 'repeat', 'of', 'kingfisher', 'civil', 'aviation', 'minister', 'ashok', 'gajapathi', 'raju']
['need', 'to', 'instill', 'confidence', 'among', 'kashmiri', 'pandits', 'for', 'permanent', 'return', 'mehbooba', 'mufti']
['nitish', 'kumar', 'announces', 'rs', '25000', 'for', 'every', 'rescued', 'child', 'labour']
['taskforce', 'suggests', '5', 'point', 'agenda', 'for', 'cash', 'starved', 'farmers']
['niti', 'panel', 'report', 'on', 'easing', 'bisiness', 'regulatory', 'framework', 'next', 'month']
['a', 'loathsome', 'murder', 'of', 'democracy', 'pramod', 'tiwari', 'on', 'rs', 'polls']
['raghuram', 'rajan', 'being', 'attacked', 'for', 'fighting', 'crony', 'capitalism', 'colleague']
['waqar', 'younis', 'regrets', 'resigning', 'from', 'pakistan', 'coachs', 'post']
['tea', 'urges', 'jaya', 'to', 'take', 'up', 'knitwear', 'sector', 'issues', 'with', 'pm', 'narendra', 'modi']
['pansare', 'case', 'trial', 'against', 'sameer', 'gaikwad', 'stayed', 'till', 'further', 'orders']
['yasin', 'malik', 'detained', 'ahead', 'of', 'seminar', 'by', 'separatists']
['pm', 'narendra', 'modi', 'congratulates', 'saina', 'nehwal', 'on', 'australia', 'super', 'series', 'win']
['some', 'private', 'carriers', 'favoured', 'under', 'upa', 'ashok', 'gajapathi', 'raju']
['us', 'has', 'moved', 'ahead', 'of', 'india', 'in', 'its', 'enmity', 'with', 'pakistan', 'hafiz', 'saeed']
['brian', 'lara', 'appeared', 'worried', 'during', 'my', 'innings', 'of', '317', 'chris', 'gayle']
['hoardings', 'posters', 'are', 'not', 'parameters', 'of', 'popularity', 'bjp']
['vijay', 'mallya', 'pmla', 'case', 'ed', 'replies', 'to', 'interpol']
['how', 'you', 'should', 'interpret', 'and', 'respond', 'to', 'advance', 'warnings', 'of', 'financial', 'crises']
['gaia', 'smart', 'cities', 'acquires', 'netcores', 'internet', 'of', 'things', 'business', 'in', 'equity', 'deal']
['government', 'doing', 'its', 'best', 'to', 'bring', 'judith', 'back', 'says', 'victims', 'family']
['quantico', 'priyanka', 'chopra', 'bags', 'final', 'nomination', 'in', 'teen', 'choice', 'awards']
['murali', 'manohar', 'joshi', 'not', 'invited', 'at', 'bjp', 'national', 'executive', 'meet']
['irdai', 'to', 'meet', 'to', 'accord', 'approval', 'to', 'foreign', 're', 'insurers']
['china', 'on', 'the', 'way', 'to', 'become', 'worlds', 'largest', 'box', 'office', 'surpassing', 'us', 'in', '2017', 'pwc']
['sbi', 'begins', 'working', 'on', 'framework', 'for', 'subsidiaries', 'merger']
['freecharge', 'sees', '15', 'growth', 'in', 'monthly', 'transactions']
['eatery', 'denies', 'entry', 'to', 'street', 'children', 'aap', 'govt', 'orders', 'probe']
