headlines,headline_text
"['view', 'jyotiraditya', 'scindias', 'exit', 'highlights', 'the', 'utter', 'rudderlessness', 'in', 'congress']",view jyotiraditya scindias exit highlights the utter rudderlessness in congress
"['lakshmi', 'vilas', 'bank', 'bets', 'on', 'gold', 'biz', 'msmes', 'for', 'business', 'revival']",lakshmi vilas bank bets on gold biz msmes for business revival
"['in', 'coronavirus', 'battle', '10', 'billion', 'fund', 'raising', 'drive', 'begins']",in coronavirus battle 10 billion fund raising drive begins
"['multiplexes', 'witness', 'up', 'to', '20', 'dip', 'in', 'footfall', 'due', 'to', 'covid', '19']",multiplexes witness up to 20 dip in footfall due to covid 19
"['delhi', 'assembly', 'passes', 'resolution', 'against', 'npr', 'nrc']",delhi assembly passes resolution against npr nrc
"['crpf', 'inks', 'mou', 'to', 're', 'skill', 'specially', 'abled', 'troops', 'in', 'cyberspace', 'ops', 'ai']",crpf inks mou to re skill specially abled troops in cyberspace ops ai
"['govt', 'to', 'send', 'air', 'india', 'flight', 'to', 'milan', 'on', 'saturday', 'to', 'bring', 'back', 'stranded', 'indians', 'mea']",govt to send air india flight to milan on saturday to bring back stranded indians mea
"['vistara', 'imposes', 'travel', 'ban', 'on', 'kunal', 'kamra']",vistara imposes travel ban on kunal kamra
"['infosys', 'closes', 'simplus', 'acquisition']",infosys closes simplus acquisition
"['rbi', 'revises', 'exposure', 'limits', 'for', 'urban', 'cooperative', 'banks', 'to', 'single', 'group', 'borrowers']",rbi revises exposure limits for urban cooperative banks to single group borrowers
"['ascendas', 'india', 'inks', 'pact', 'to', 'acquire', 'arshiyas', 'warehouse', 'in', 'ncr']",ascendas india inks pact to acquire arshiyas warehouse in ncr
"['people', 'will', 'be', 'allowed', 'through', '19', 'of', '37', 'land', 'immigration', 'checkposts', 'government']",people will be allowed through 19 of 37 land immigration checkposts government
"['cbi', 'files', 'fresh', 'case', 'against', 'yes', 'bank', 'founder', 'rana', 'kapoor', 'others']",cbi files fresh case against yes bank founder rana kapoor others
"['warren', 'buffett', 'bans', 'shareholders', 'from', 'berkshire', 'hathaways', 'annual', 'meeting']",warren buffett bans shareholders from berkshire hathaways annual meeting
"['view', 'from', 'new', 'york', 'beware', 'the', 'ides', 'of', 'march', 'but', 'will', 'april', 'be', 'shiny']",view from new york beware the ides of march but will april be shiny
"['crude', 'oil', 'bounces', '5', 'but', 'set', 'for', 'biggest', 'weekly', 'thumping', 'since', '2008']",crude oil bounces 5 but set for biggest weekly thumping since 2008
"['20', 'lakh', 'it', 'bpo', 'employees', 'of', 'stpi', 'units', 'can', 'work', 'from', 'home']",20 lakh it bpo employees of stpi units can work from home
"['sbi', '7', 'other', 'investors', 'to', 'invest', 'rs', '11750', 'crore', 'in', 'yes', 'bank']",sbi 7 other investors to invest rs 11750 crore in yes bank
"['gold', 'set', 'for', 'biggest', 'weekly', 'drop', 'in', 'nearly', '7', 'years', 'in', 'coronavirus', 'led', 'sell', 'off']",gold set for biggest weekly drop in nearly 7 years in coronavirus led sell off
"['government', 'puts', 'masks', 'and', 'hand', 'sanitisers', 'under', 'essential', 'commodities', 'act']",government puts masks and hand sanitisers under essential commodities act
"['assam', 'cm', 'decides', 'not', 'to', 'participate', 'in', 'public', 'programmes', 'till', 'march', '31']",assam cm decides not to participate in public programmes till march 31
"['coronavirus', 'all', 'schools', 'colleges', 'in', 'uttar', 'pradesh', 'to', 'be', 'shut', 'till', 'march', '22']",coronavirus all schools colleges in uttar pradesh to be shut till march 22
"['oil', 'hedge', 'strategy', 'that', 'failed', 'shale', 'in', '2014', 'burns', 'it', 'again']",oil hedge strategy that failed shale in 2014 burns it again
"['trai', 'broadens', 'scope', 'of', 'telecom', 'infra', 'providers']",trai broadens scope of telecom infra providers
"['no', 'shortage', 'of', 'apis', 'and', 'formulations', 'in', 'the', 'country', 'govt']",no shortage of apis and formulations in the country govt
"['pakistan', 'limits', 'flights', 'shuts', 'borders', 'and', 'schools', 'over', 'coronavirus']",pakistan limits flights shuts borders and schools over coronavirus
"['coronavirus', 'indian', 'entertainment', 'industry', 'stares', 'at', 'losses']",coronavirus indian entertainment industry stares at losses
"['machines', 'not', 'bulls', 'at', 'work', 'did', 'algos', 'do', 'the', 'trick', 'in', 'stocks', 'bounce']",machines not bulls at work did algos do the trick in stocks bounce
"['thermax', 'announces', '350', 'dividend', 'for', 'fy20']",thermax announces 350 dividend for fy20
"['forex', 'reserve', 'surges', 'by', '5', '69', 'billion', 'to', 'hit', 'record', '487', '23', 'billion']",forex reserve surges by 5 69 billion to hit record 487 23 billion
"['vegetable', 'oil', 'imports', 'down', '10', '5', 'to', '11', '12', 'lakh', 'tonnes', 'in', 'feb']",vegetable oil imports down 10 5 to 11 12 lakh tonnes in feb
"['bank', 'seizure', 'snuffs', 'out', 'hope', 'for', 'quick', 'india', 'shadow', 'bank', 'revival']",bank seizure snuffs out hope for quick india shadow bank revival
"['coronavirus', 'army', 'postpones', 'all', 'recruitment', 'rallies', 'by', 'a', 'month']",coronavirus army postpones all recruitment rallies by a month
"['us', 'lambasts', 'pak', 'lack', 'of', 'accountability', 'in', 'addressing', 'human', 'rights', 'violation']",us lambasts pak lack of accountability in addressing human rights violation
"['from', 'black', 'friday', 'to', 'fabulous', 'friday', 'sensex', 'stages', 'best', 'ever', 'rebound', 'zooms', '1325', 'pts']",from black friday to fabulous friday sensex stages best ever rebound zooms 1325 pts
"['british', 'airways', 'to', 'cut', 'jobs', 'over', 'coronavirus', 'ceo']",british airways to cut jobs over coronavirus ceo
"['govt', 'approves', 'rs', '7660', 'cr', 'green', 'highway', 'project', 'in', 'up', '3', 'other', 'states']",govt approves rs 7660 cr green highway project in up 3 other states
